venue,count
Eden Gardens,4
M Chinnaswamy Stadium,3
Feroz Shah Kotla,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2
"Rajiv Gandhi International Stadium, Uppal",2
Newlands,1
Kingsmead,1
SuperSport Park,1
Nehru Stadium,1
Sawai Mansingh Stadium,1
